dēfendere	dēfendō, dēfendī,dēfēnsumverteidigen
scrībere	scrībō, scrīpsī, scrīptum schreiben
tangere	tangō, tetigī, tāctum berühren
facere	faciō, fēcī, factum machen, tun
accipere	accipiō, accēpī, acceptum annehmen, aufnehmen
corrumpere	corrumpō, corrūpī,corruptumverderben
caedere	caedō, cecīdī, caesum schlachten, töten
condere	condō, condidī, conditum gründen
rīdēre	rīdeō, rīsī, rīsum lachen, (+ Akk.:)aus lachen
pellere	pellō, pepulī, pulsum vertreiben
īnstruere	īnstruō, īnstrūxī,īnstrūctumanweisen, unterrichten;bauen
opprimere	opprimō, oppressī,oppressumunterdrücken
