Catō	Catōnis m.; Cato
gravis 	gravis, grave; ernst, charakterfest
comes	comitis m.; Begleiter
prōvincia	prōvinciae f.; Provinz 
mōs	mōris m.; Sitte, Brauch
illūstris	illūstre, illūstre; bekannt, berühmt
cōgnōscere	cōgnōscō, cōgnōvī, cōgnitum; erfahren, in Erfahrung bringen, erkennen, kennenlernen
grandis	grande, grande; groß, bedeutend 
tunc	Adv.; dann, damals
varius	-a, -um; verschieden, verschiedenartig
dīvidere	dīvidō, dīvīsī, dīvīsum; teilen, unterteilen
singulāris	singulāre, singulāre; einzigartig
velut	wie zum Beispiel
vās	vāsis n.; Gefäß
praebēre	praebeō, praebuī,praebitum; bieten, gewähren,anbieten
omnis	omne, omne; jeder, ganz (Singular),alle (Plural)
ubi	Konj.; als, sobald 
rēgius	-a, -um; königlich
audāx	audāx, audāx, Gen. audācis; wagemutig, frech
audēre	audeō; wagen
agere	agō, ēgī, āctum; handeln, tun
alius	alia, aliud(Gen. alterīus, Dat. aliī); ein anderer
aliī	-ae, -a; andere
aliī … aliī	einige … andere
modus	modī m.; Art, Weise
dōnāre	dōnō, dōnāvi, dōnātum; schenken 
fēlīx	fēlīx, fēlīx, Gen. fēlīcis; glücklich
ingēns	ingēns, ingēns Gen. ingentis; ungeheuer groß
celer	celeris, celere; schnell
accēdere	accēdo, accessī,accessum; sich nähern,herbeikommen
ācer	ācris, ācre; energisch, hitzig, scharf
sibī	Dat.; sich
parāre	parō, parāvi, parātum; vorbereiten, zubereiten;(+ Inf.:) sich vorbereiten,etwas zu tun; verschaffen
