pārēre	pāreō; gehorchen
iānua	iānuae f.;Tür
sinere?	sinō; lassen, zulassen
intrāre?	intrō; betreten, eintreten
aperīre?	aperiō; öffnen 
cēnsēre?	cēnseō; denken, meinen
rūrī	auf dem Land
abīre?	abeō; weggehen, verschwinden
cēdere?	cēdō; gehen, zurückweichen
improbus	-a, -um; schlecht, böse 
adesse?	adsum; da sein, anwesend sein
fortūnae	fortūnārum f. Pl.; Vermögen, Reichtümer
perdere?	perdō; verschwenden, vergeuden
nocēre?	noceō; schaden
studēre?	studeō; sich bemühen 
bibere?	bibō; trinken
licet	es ist erlaubt
corrumpere?	corrumpō; verderben
enim	Konj.; nämlich 
convīvium	convīviī n.; Gastmahl, Festessen 
īnstituere?	īnstituō; veranstalten, ausrichten
cūrāre?	cūrō; sich kümmern
dē	Präp. + Abl.; um, über
vīta	vītae f.; Leben 
modo	Adv.; bloß, nur 
agere	agō; handeln, tun
poena	poenae f.; Strafe 
īnstāre?	īnstō; bevorstehen, drohen
